rowid,mapURL
98,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Chi%20-%20B%C3%A1nh%20canh%20c%C3%A1%20l%C3%B3c&query_place_id=ChIJU5qQCQAvdTERdZzTEFqAQ7k
99,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%20%26%20%E3%82%AB%E3%82%A6%E3%83%B3%E3%82%BF%20%E3%82%A2%E3%82%AA%E3%82%B6%E3%82%A4&query_place_id=ChIJH9S7k0gvdTERdm4LB0BA_vk
100,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Hoa%20Mai&query_place_id=ChIJ71QJoUcvdTERvv0XhN2_tnc
101,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20HQ&query_place_id=ChIJ3xlWaiYvdTERwS9LzDWslmY
102,https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20nh%C3%A0%20(C%C6%A1m%20VP%20-%20l%E1%BA%A9u%20-%20m%C3%AC)&query_place_id=ChIJkyVPkDsvdTERfQ675-f06OU
103,https://www.google.com/maps/search/?api=1&query=Annam%20Gourmet&query_place_id=ChIJgz6RckYvdTERT6izth8Wf3E
104,https://www.google.com/maps/search/?api=1&query=H%C6%B0%C6%A1ng%20Qu%C3%A1n&query_place_id=ChIJw_GgQgAvdTERXJGKFKDPIwQ
105,https://www.google.com/maps/search/?api=1&query=Ben%20Nghe%20Street%20Food&query_place_id=ChIJSy3R1jgvdTERE51Ytwqzbpo
106,https://www.google.com/maps/search/?api=1&query=N%26D%20Restaurant%20Trading%20Co.%2C%20Ltd&query_place_id=ChIJtw-6NjgvdTERAWcHy27mi2w
107,https://www.google.com/maps/search/?api=1&query=Cty%20Thu%E1%BA%ADn%20Ph%C6%B0%C6%A1ng%20Ph%C3%A1t&query_place_id=ChIJ32CsgmkvdTERaJTqAbd_UXI
108,https://www.google.com/maps/search/?api=1&query=Qui%20Cuisine%20Mixology&query_place_id=ChIJM-xlyk4vdTERmdhfvUHRguU
109,https://www.google.com/maps/search/?api=1&query=FamilyMart&query_place_id=ChIJkQohiRMvdTER3LqxopXoia8
110,https://www.google.com/maps/search/?api=1&query=COMQUYNHMAI&query_place_id=ChIJzT1BSucvdTERa5cmJWYnvaY
111,https://www.google.com/maps/search/?api=1&query=Co.opmart%20Smile%20-%20De%20Tham&query_place_id=ChIJQTBedAwvdTERIVvh1I7ZLoE
112,https://www.google.com/maps/search/?api=1&query=Izakaya%20Ken&query_place_id=ChIJR3L98cYvdTER4J20KduLVzQ
113,https://www.google.com/maps/search/?api=1&query=Central%20Parc%20Banh%20Mi%20%26%20Sandwiches&query_place_id=ChIJg7bo2nUvdTER5CuQQ5eJQIE
114,https://www.google.com/maps/search/?api=1&query=Hoa%20T%C3%BAc%20Saigon&query_place_id=ChIJY36QJ0YvdTERSsKGBuhpiCI
115,https://www.google.com/maps/search/?api=1&query=Saturday%20Kitchen%20SaiGon&query_place_id=ChIJFcfsC2AvdTERfJi2MIqY-Xg
116,https://www.google.com/maps/search/?api=1&query=5E%20Nguy%E1%BB%85n%20Si%C3%AAu&query_place_id=ChIJGW2wYm0vdTER7gU8zbNHoVw
